Region,Year,Predicted_Births_LSTM,Grundskola_Fixed_Cost_per_Child,Grundskola_Current_Cost_per_Child,Gymnasieskola_Fixed_Cost_per_Child,Gymnasieskola_Current_Cost_per_Child,Total_Grundskola_Cost,Total_Gymnasieskola_Cost
22,2029,2220.0596,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,664770311.539513,626275465.9733044
23,2029,1231.6434,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,368800894.6802982,347444746.1896721
24,2029,2562.377,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,767273165.3563187,722842688.400923
25,2029,2221.1526,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,665097597.3252246,626583799.625387
1,2030,26233.12,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,8227822198.725574,7472786078.019559
3,2030,3647.1367,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,1143897191.872211,1038926073.4672123
4,2030,2731.916,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,856845053.4993007,778215624.0324781
5,2030,4491.06,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,1408587433.130656,1279326692.4998064
6,2030,3756.5566,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,1178215926.4414246,1070095507.5786825
7,2030,2055.1218,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,644573606.4610255,585423524.7532316
8,2030,2151.0222,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,674652050.8087304,612741784.037545
9,2030,475.77463,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,149223159.971229,135529515.0305761
10,2030,1484.2211,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,465514864.9644758,422796326.6581663
12,2030,12780.349,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,4008461029.7844934,3640619723.442396
13,2030,3016.976,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,946251993.8849168,859418027.6886294
14,2030,17490.145,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,5485653375.958677,4982255715.619926
17,2030,2571.444,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,806514208.9838984,732503450.7373476
18,2030,2996.9858,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166,939982216.9267446,853723604.4459183
