Region,Age,Year,MortalityCoefficient
8,3,2003,0.0
8,3,2004,0.0
8,3,2005,0.00012405408758218582
8,3,2006,0.0
8,3,2007,0.0
8,3,2008,0.0
8,3,2009,0.0
8,3,2010,0.0
8,3,2011,0.0
8,3,2012,0.0
8,3,2013,0.0001280901754835404
8,3,2014,0.00012342631449024932
8,3,2015,0.00013517166801838335
8,3,2016,9.96710854181202e-05
8,3,2017,0.00010358400662937643
8,3,2018,0.00011043622308117063
8,3,2019,0.0
8,3,2020,0.0
8,3,2021,0.0
8,3,2022,0.0
8,3,2023,0.0
8,4,2000,0.0
8,4,2001,0.00011756407241946862
8,4,2002,0.0
8,4,2003,0.0
8,4,2004,0.0
8,4,2005,0.0
8,4,2006,0.00012004801920768308
8,4,2007,0.0
8,4,2008,0.0
8,4,2009,0.00012113870381586917
8,4,2010,0.0
8,4,2011,0.0
8,4,2012,0.0001194885888397658
8,4,2013,0.0
8,4,2014,0.0
8,4,2015,0.0
8,4,2016,0.0
8,4,2017,0.0
8,4,2018,0.0
8,4,2019,0.00011462631820265933
8,4,2020,0.0
8,4,2021,0.0
8,4,2022,0.0
8,4,2023,0.0
8,5,2000,0.0
8,5,2001,0.00014823599169878446
8,5,2002,0.0
8,5,2003,0.0
8,5,2004,0.0
8,5,2005,0.0
8,5,2006,0.00013352917612498332
8,5,2007,0.0
8,5,2008,0.0002467003823855927
8,5,2009,0.0
8,5,2010,0.0
8,5,2011,0.0
8,5,2012,0.0
8,5,2013,0.00012553351744915893
8,5,2014,0.0
8,5,2015,0.0
8,5,2016,0.0
8,5,2017,0.0
8,5,2018,0.0
8,5,2019,0.0
8,5,2020,0.0
8,5,2021,0.00012753475322025253
8,5,2022,0.0
8,5,2023,0.0
8,6,2000,0.0001269035532994924
8,6,2001,0.00012740476493820868
8,6,2002,0.0
8,6,2003,0.0
8,6,2004,0.0
8,6,2005,0.0
8,6,2006,0.0
8,6,2007,0.0
8,6,2008,0.0
8,6,2009,0.0
8,6,2010,0.0
8,6,2011,0.0
8,6,2012,0.0
8,6,2013,0.00030637254901960784
8,6,2014,0.0
8,6,2015,0.0
8,6,2016,0.0
8,6,2017,0.0
8,6,2018,0.0
8,6,2019,0.0
8,6,2020,0.0
8,6,2021,0.0
8,6,2022,0.0
8,6,2023,0.0
8,7,2000,0.0
8,7,2001,0.0
8,7,2002,0.0
8,7,2003,0.0
8,7,2004,0.0
8,7,2005,0.0
8,7,2006,0.0
8,7,2007,0.00016672224074691563
8,7,2008,0.0
8,7,2009,0.0
8,7,2010,0.0
8,7,2011,0.0
8,7,2012,0.0
8,7,2013,0.0
8,7,2014,0.00016005121638924455
8,7,2015,0.00015537600994406463
8,7,2016,0.0
8,7,2017,0.0
8,7,2018,0.0
8,7,2019,0.0
8,7,2020,0.0001528584530724549
8,7,2021,0.0
8,7,2022,0.0
