Region,Year,Number,MortalityCoefficient,MigrationCoefficient,NetMigration
1,2000,21837,0.0004915212582944212,0.06049149338374291,64
1,2000,21837,0.0004915212582944212,0.10207939508506617,108
1,2000,21837,0.0004915212582944212,0.08601134215500945,91
1,2000,21837,0.0004915212582944212,0.1001890359168242,106
1,2000,21837,0.0004915212582944212,0.11153119092627599,118
1,2000,21837,0.0004915212582944212,0.21644612476370512,229
1,2000,21837,0.0004915212582944212,0.16446124763705103,174
1,2000,21837,0.0004915212582944212,0.18052930056710775,191
1,2000,21837,0.0004915212582944212,0.45085066162570886,477
1,2000,21837,0.001064207165661582,0.002835538752362949,3
1,2000,21837,0.001064207165661582,-0.03969754253308128,-42
1,2000,21837,0.001064207165661582,-0.11247637051039698,-119
1,2000,21837,0.001064207165661582,-0.06332703213610585,-67
1,2000,21837,0.001064207165661582,-0.002835538752362949,-3
