Region,Year,Predicted_Births_ARIMA,Predicted_Births_SARIMA
12,2026,13437.658236129022,13675.728659398424
12,2027,13325.804525258289,13990.9983577222
12,2028,13249.384170210027,14058.33553880718
12,2029,13197.172485678151,14241.6967288883
12,2030,13161.500576015676,14083.580843398431
12,2031,13137.128921464078,14361.91613968964
12,2032,13120.47779313362,14364.157093463851
12,2033,13109.10145944686,14377.962681611169
12,2034,13101.32895505052,14508.307854010072
12,2035,13096.018648034698,14349.097254077822
13,2025,2980.1235548753984,3022.427315730612
13,2026,2934.420457133895,3007.302731487636
13,2027,2908.270405765046,3117.115040525075
13,2028,2893.3080679720765,3105.291213625686
13,2029,2884.747031166711,3156.599300547524
13,2030,2879.848642145093,3135.9479905319145
13,2031,2877.0459191160235,3180.642183593653
13,2032,2875.4422783388195,3118.649697738699
13,2033,2874.524719337934,3118.479643359395
13,2034,2873.999717397304,3174.3970711105967
13,2035,2873.699325774095,3117.382809987593
14,2025,17239.209136055364,17514.62091871843
14,2026,17128.611700238824,17459.823451365748
14,2027,17063.47651446749,17699.449752389155
14,2028,17025.1158382534,17663.059338672752
14,2029,17002.523725216863,18661.423258503262
14,2030,16989.21834007174,18097.33223375572
14,2031,16981.382274734526,18245.002077847363
14,2032,16976.767307238333,18069.02286329482
14,2033,16974.049371121877,17878.678341909785
14,2034,16972.44867149848,18126.59947756877
14,2035,16971.505956447592,17172.190877904537
17,2025,2180.1391889746023,2213.583012825231
17,2026,2117.562594149464,2167.0074071926465
17,2027,2075.393780667546,2182.547940926908
17,2028,2046.9772643096053,2261.764492432261
17,2029,2027.8280795153175,2256.532696280637
17,2030,2014.9239193548367,2218.7062207339964
17,2031,2006.228126231727,2120.6790469601883
17,2032,2000.3682471617576,2085.8429759144624
17,2033,1996.419420156731,1981.201721674975
17,2034,1993.7584036870328,1977.056427773961
17,2035,1991.9652107608824,1995.9698913438813
18,2025,2743.8211424896244,2737.611521558138
18,2026,2697.976270863835,2773.3381967391115
18,2027,2667.594846104545,2788.172102094136
18,2028,2647.461057140347,2777.741097627777
18,2029,2634.1183827507625,2774.715906615778
18,2030,2625.276184186794,2709.7110971741245
18,2031,2619.4164537338293,2718.7207423360232
18,2032,2615.5332067412405,2732.4591336590534
18,2033,2612.9597765593417,2666.3241416171413
18,2034,2611.254362787376,2625.7299985955437
18,2035,2610.1241840267203,2580.4802111037784
19,2025,2479.188006262554,2551.5275885106807
19,2026,2417.578332184198,2513.669390865232
19,2027,2374.839150455404,2595.1334959829373
19,2028,2345.1905979809367,2648.3127335136537
19,2029,2324.623132056829,2630.9465363251857
19,2030,2310.355297062065,2547.585554908493
19,2031,2300.457572364769,2488.7767152097786
19,2032,2293.591432251752,2411.834245168516
19,2033,2288.828329468699,2305.16375819131
19,2034,2285.524122483625,2244.882225529591
19,2035,2283.231964556852,2327.214912181465
20,2025,2379.0629956035045,2423.7845209497927
20,2026,2344.480950617404,2318.502816367321
20,2027,2324.855472678921,2496.799644411266
20,2028,2313.717918943488,2529.861590397379
20,2029,2307.397303282636,2600.3447648501424
20,2030,2303.8103232975154,2459.225049868046
20,2031,2301.7746947916808,2329.1335478142028
20,2032,2300.619465760308,2297.381433977084
20,2033,2299.963867692633,2285.134808934596
20,2034,2299.5918126155307,2202.367221269445
20,2035,2299.3806695581866,2181.30347914976
21,2025,2179.26358733927,2355.384697792707
21,2026,2106.8928650729745,2258.165233363012
21,2027,2055.411578241962,2280.606127192488
21,2028,2018.790099130218,2396.6337937845715
21,2029,1992.7392209395816,2379.955044613545
21,2030,1974.2077942751207,2370.920958012983
21,2031,1961.025368266016,2551.863423238513
21,2032,1951.6479814823629,2387.987198495517
21,2033,1944.9773289917296,2304.8677199797507
21,2034,1940.2321259114476,2362.1518497496554
21,2035,1936.8566012075687,2214.384940483757
22,2025,1896.9907724403197,1905.2932080487756
22,2026,1863.820060283608,1967.5483857004665
22,2027,1842.6642731933105,2014.1428739090495
22,2028,1829.171426693799,2083.804277955441
22,2029,1820.565889784096,2062.581224687538
22,2030,1815.0774062749304,1884.0138736899128
22,2031,1811.576933085813,1880.4335150357297
22,2032,1809.344383324614,1800.4644941568602
22,2033,1807.9204962765075,1745.914565913807
22,2034,1807.0123622850488,1703.823297723642
22,2035,1806.4331679258207,1698.6204287243652
23,2025,1147.4902498681918,1200.9068840718865
23,2026,1140.7113788421332,1218.345977678865
23,2027,1136.3389540164603,1293.429881276005
23,2028,1133.5187058095437,1324.055083175511
23,2029,1131.6996236604546,1269.1225075597652
23,2030,1130.5263014482396,1257.3118809367918
23,2031,1129.7694994454455,1232.9770357432258
23,2032,1129.2813562351066,1197.6484532491056
23,2033,1128.9665000469352,1184.7403966244206
23,2034,1128.7634153432457,1183.9243340586872
23,2035,1128.6324241211505,1205.3238568003885
24,2025,2405.6534337237435,2298.272499692212
